,rea_ratio_score,rea_score,imf_score,adg_score,weight,Name,DOB,Days_Old,Weight,ADG,REA,REA_per_100,Backfat,%IMF,Scrotal,scrotal_cm_per_day,Meas_Date,bull_score,Class,Meas_Year
37,8,4,2,6,7,TBJ's Bocephus (D),2019-06-09,225.0,454.0,1.8,6.5,1.43,0.07,1.95,24.0,0.11,2020-01-20,20,Intermediate Bull Calf,2020
38,79,73,81,70,43,Double LL Dillon (D),2015-04-23,273.0,654.0,2.21,12.27,1.88,0.12,4.32,27.0,0.1,2016-01-21,303,Junior Bull Calf,2016
39,60,76,76,73,67,"STR Double Shot (AI,D)",2015-03-16,311.0,755.0,2.27,12.66,1.68,0.12,3.9,34.0,0.11,2016-01-21,285,Junior Bull Calf,2016
40,81,79,71,50,59,Skye High Gibraltar (D),2018-03-05,322.0,702.0,2.02,13.62,1.94,0.21,3.69,33.0,0.1,2019-01-21,281,Junior Bull Calf,2019
41,71,78,52,75,69,"Windemere Duke (AI,D)",2015-03-16,311.0,764.0,2.3,13.31,1.74,0.11,3.05,32.0,0.1,2016-01-21,276,Junior Bull Calf,2016
42,76,80,21,82,68,Flatheads Dawson (D),2019-04-03,292.0,759.0,2.43,13.69,1.8,0.22,2.52,33.0,0.11,2020-01-20,259,Junior Bull Calf,2020
43,46,74,60,77,71,"T-Ross Summit Ranch Laydon (ET,PV,D)",2022-03-10,319.0,790.0,2.32,12.44,1.57,0.2,3.4,34.0,0.11,2023-01-23,257,Junior Bull Calf,2023
44,69,59,84,36,39,Holy Cross Marcus (D),2019-03-15,311.0,647.0,1.92,11.11,1.72,0.16,4.95,28.0,0.09,2020-01-20,248,Junior Bull Calf,2020
45,68,64,73,42,52,Skye High Delagrange (D),2015-03-04,323.0,676.0,1.94,11.55,1.71,0.16,3.7,33.0,0.1,2016-01-21,247,Junior Bull Calf,2016
46,80,75,48,44,48,Skye High Freemason (D),2017-03-13,315.0,669.0,1.97,12.59,1.88,0.12,2.97,30.0,0.1,2018-01-22,247,Junior Bull Calf,2018
47,41,69,65,69,70,HHH Kodiak (D),2021-02-28,330.0,775.0,2.2,11.94,1.54,0.21,3.49,31.0,0.09,2022-01-24,244,Junior Bull Calf,2022
48,33,63,62,84,72,RTH Grissom (D),2018-04-17,279.0,790.0,2.65,11.49,1.45,0.2,3.43,35.0,0.13,2019-01-21,242,Junior Bull Calf,2019
49,58,82,20,81,77,SA Dunlin (D),2015-03-01,326.0,832.0,2.4,13.91,1.67,0.18,2.5,29.0,0.09,2016-01-21,241,Junior Bull Calf,2016
50,82,77,40,41,41,Almosta Farm's Brogan (D),2015-03-17,310.0,650.0,1.94,12.75,1.96,0.11,2.89,30.0,0.1,2016-01-21,240,Junior Bull Calf,2016
51,64,84,22,67,81,CBS Duncan's Blitz (D),2019-01-05,380.0,877.0,2.18,14.82,1.69,0.19,2.53,36.0,0.09,2020-01-20,237,Junior Bull Calf,2020
52,39,55,82,59,62,Almosta Farm's Baron (D),2018-03-11,316.0,713.0,2.1,10.87,1.52,0.09,4.75,27.0,0.09,2019-01-21,235,Junior Bull Calf,2019
53,56,58,70,49,50,"Spring Creek Dusty (AI,D)",2015-03-17,310.0,671.0,2.0,11.06,1.65,0.11,3.68,34.0,0.11,2016-01-21,233,Junior Bull Calf,2016
54,29,66,83,54,75,"HSC Hudson (AI,D)",2019-01-08,377.0,819.0,2.04,11.71,1.43,0.2,4.76,33.0,0.09,2020-01-20,232,Junior Bull Calf,2020
55,37,83,26,83,83,Viking Fold Haakon (D),2019-02-07,347.0,948.0,2.59,14.28,1.51,0.16,2.6,31.0,0.09,2020-01-20,229,Junior Bull Calf,2020
56,54,47,80,47,35,Holy Cross Jett (D),2019-04-01,294.0,630.0,1.97,10.34,1.64,0.3,4.3,30.0,0.1,2020-01-20,228,Junior Bull Calf,2020
57,42,81,24,78,82,"FSH Confucius (ET,PV,D)",2022-01-22,366.0,901.0,2.33,13.9,1.54,0.16,2.56,38.0,0.1,2023-01-23,225,Junior Bull Calf,2023
58,5,62,77,80,84,"Mid-Lakes BigShot (AI,D)",2023-01-01,386.0,970.0,2.38,11.24,1.16,0.12,4.1,37.0,0.1,2024-01-22,224,Junior Bull Calf,2024
59,51,54,42,74,51,"Liberty of Highland Spice (PV,D)",2022-04-24,274.0,673.0,2.27,10.76,1.6,0.12,2.91,31.0,0.11,2023-01-23,221,Junior Bull Calf,2023
60,62,43,66,48,26,Bennachie's Jax (D),2018-04-17,279.0,607.0,2.0,10.23,1.69,0.07,3.52,32.0,0.11,2019-01-21,219,Junior Bull Calf,2019
61,44,39,69,66,38,Bennachie's Moray (D),2018-04-21,275.0,645.0,2.16,9.98,1.55,0.2,3.67,27.0,0.1,2019-01-21,218,Junior Bull Calf,2019
62,72,70,59,15,56,Skye High Honor (D),2019-01-08,377.0,683.0,1.68,11.96,1.75,0.21,3.33,31.5,0.08,2020-01-20,216,Junior Bull Calf,2020
63,74,50,53,37,20,RAM Liberty (D),2017-04-16,281.0,591.0,1.93,10.52,1.78,0.12,3.18,31.0,0.11,2018-01-22,214,Junior Bull Calf,2018
64,66,61,33,53,46,"11M Ranch Fergus (PV,D)",2023-03-28,300.0,661.0,2.04,11.21,1.7,0.1,2.82,31.0,0.1,2024-01-22,213,Junior Bull Calf,2024
65,84,60,37,28,14,MT Pendleton (D),2018-04-24,272.0,556.0,1.86,11.19,2.01,0.17,2.87,27.0,0.1,2019-01-21,209,Junior Bull Calf,2019
66,50,49,61,45,42,SC Finnegan (D),2017-03-23,305.0,652.0,1.97,10.45,1.6,0.14,3.42,36.0,0.12,2018-01-22,205,Junior Bull Calf,2018
67,57,46,67,35,33,Bennachie's Sterling (D),2015-03-29,298.0,620.0,1.91,10.31,1.66,0.19,3.59,33.0,0.11,2016-01-21,205,Junior Bull Calf,2016
68,49,48,55,52,40,Flatheads Aodhair (D),2015-04-02,294.0,649.0,2.04,10.38,1.6,0.18,3.25,31.0,0.11,2016-01-21,204,Junior Bull Calf,2016
69,34,57,79,33,64,"Symbiosis Sir Titan (ET,D)",2019-01-21,364.0,742.0,1.9,11.0,1.48,0.15,4.3,33.0,0.09,2020-01-20,203,Junior Bull Calf,2020
70,25,37,58,79,57,HS Love Is A Rose (D),2022-04-23,275.0,694.0,2.34,9.85,1.42,0.1,3.3,27.0,0.1,2023-01-23,199,Junior Bull Calf,2023
71,48,68,11,71,65,"Creek Run Fozzie (ET,PV,D)",2022-03-17,312.0,745.0,2.23,11.76,1.58,0.1,2.13,28.0,0.09,2023-01-23,198,Junior Bull Calf,2023
72,53,44,49,51,36,"Highland Spice Mercury (PV,D)",2023-04-07,290.0,635.0,2.02,10.28,1.62,0.11,2.97,33.0,0.11,2024-01-22,197,Junior Bull Calf,2024
73,22,72,32,68,78,"Symbiosis Sir Yukon (ET,D)",2017-01-18,369.0,859.0,2.19,12.11,1.41,0.14,2.78,34.0,0.09,2018-01-22,194,Junior Bull Calf,2018
74,38,53,41,60,61,Howling Springs Barron the Bul (D),2022-03-17,312.0,708.0,2.11,10.76,1.52,0.18,2.91,38.0,0.12,2023-01-23,192,Junior Bull Calf,2023
75,14,56,39,76,74,"KFR Samson (AI,PV,D)",2024-02-27,331.0,814.0,2.31,10.99,1.35,0.19,2.89,32.0,0.07,2025-01-23,185,Junior Bull Calf,2025
76,73,30,57,20,9,TSR Velveteen Rabbit (D),2019-04-19,276.0,525.0,1.72,9.3,1.77,0.07,3.28,27.0,0.1,2020-01-20,180,Junior Bull Calf,2020
77,24,51,44,55,66,GNH Saint Valentine (D),2023-02-15,341.0,754.0,2.06,10.66,1.41,0.06,2.93,35.0,0.1,2024-01-22,174,Junior Bull Calf,2024
78,70,24,68,9,6,Snowland G. Markee (D),2015-04-16,280.0,498.0,1.6,8.6,1.73,0.12,3.63,22.0,0.08,2016-01-21,171,Junior Bull Calf,2016
79,65,36,46,24,16,Highland Spice Hickory (D),2019-04-08,287.0,574.0,1.83,9.73,1.7,0.07,2.94,28.0,0.1,2020-01-20,171,Junior Bull Calf,2020
80,55,42,17,57,32,Bennachie's Glen (D),2017-04-22,275.0,619.0,2.07,10.18,1.64,0.15,2.43,29.0,0.11,2018-01-22,171,Junior Bull Calf,2018
81,23,65,25,56,76,DH Premier (D),2017-01-12,375.0,822.0,2.06,11.61,1.41,0.17,2.59,35.0,0.09,2018-01-22,169,Junior Bull Calf,2018
82,78,52,30,8,18,"Beyond Hope Sutton (AI,D)",2022-02-21,336.0,580.0,1.58,10.72,1.85,0.1,2.68,31.0,0.09,2023-01-23,168,Junior Bull Calf,2023
83,77,28,50,13,5,Clearwater's Vance (D),2019-04-28,267.0,492.0,1.66,9.01,1.83,0.08,3.01,30.0,0.11,2020-01-20,168,Junior Bull Calf,2020
84,61,67,19,18,58,LSK Duke (D),2017-01-12,375.0,696.0,1.72,11.72,1.68,0.12,2.46,30.0,0.08,2018-01-22,165,Junior Bull Calf,2018
85,20,71,8,65,79,"MES Marvelous Miles (AI,PV,D)",2024-01-12,377.0,864.0,2.16,12.07,1.4,0.21,2.01,34.0,0.07,2025-01-23,164,Junior Bull Calf,2025
86,8,15,75,62,49,"STR Burning It Down (ET,D)",2017-04-06,291.0,669.0,2.13,8.29,1.24,0.09,3.81,32.0,0.11,2018-01-22,160,Junior Bull Calf,2018
87,27,45,47,39,63,"HHH Gold Kanyon (PV,D)",2021-02-13,345.0,717.0,1.93,10.28,1.43,0.18,2.95,31.0,0.09,2022-01-24,158,Junior Bull Calf,2022
88,83,26,43,2,2,"Defiance of Dundonald (AI,D)",2015-04-25,271.0,443.0,1.45,8.77,1.98,0.12,2.91,25.0,0.09,2016-01-21,154,Junior Bull Calf,2016
89,36,29,72,11,24,RAM Cupid (D),2017-02-16,340.0,603.0,1.63,9.07,1.5,0.09,3.69,32.0,0.09,2018-01-22,148,Junior Bull Calf,2018
90,17,33,38,58,54,Holy Cross Black Jack (D),2018-03-24,303.0,680.0,2.08,9.36,1.38,0.2,2.89,30.0,0.1,2019-01-21,146,Junior Bull Calf,2019
91,59,25,45,16,8,RAM BB King (D),2015-04-16,280.0,521.0,1.68,8.76,1.68,0.12,2.93,32.0,0.11,2016-01-21,145,Junior Bull Calf,2016
92,67,8,64,5,3,Kesabe's Mayhem (D),2023-04-29,268.0,457.0,1.52,7.76,1.7,0.09,3.46,33.0,0.12,2024-01-22,144,Junior Bull Calf,2024
93,32,27,74,10,31,Dundonald's Cho Sona,2017-02-06,350.0,617.0,1.62,8.93,1.45,0.08,3.79,30.0,0.09,2018-01-22,143,Junior Bull Calf,2018
94,9,40,31,61,73,"Stagecoach Wells Fargo (PV,D)",2021-02-02,356.0,802.0,2.11,10.05,1.25,0.04,2.73,32.0,0.09,2022-01-24,141,Junior Bull Calf,2022
95,75,11,54,1,1,SFF John o'Groats (D),2015-04-19,277.0,442.0,1.42,7.96,1.8,0.12,3.25,26.0,0.09,2016-01-21,141,Junior Bull Calf,2016
96,47,41,29,22,37,RAM Wyatt (D),2019-02-28,326.0,641.0,1.81,10.06,1.57,0.12,2.67,28.0,0.09,2020-01-20,139,Junior Bull Calf,2020
97,45,34,15,43,28,Flatheads Dunn (D),2018-04-06,290.0,613.0,1.94,9.52,1.55,0.07,2.27,30.0,0.1,2019-01-21,137,Junior Bull Calf,2019
98,19,10,78,30,15,Holy Cross Finn (D),2023-04-23,274.0,566.0,1.88,7.92,1.4,0.15,4.1,31.0,0.11,2024-01-22,137,Junior Bull Calf,2024
99,1,32,23,72,80,"FSH Maxamillion (ET,D)",2021-01-25,364.0,872.0,2.26,9.36,1.07,0.08,2.54,41.0,0.11,2022-01-24,128,Junior Bull Calf,2022
100,52,7,63,3,4,"BRJ Hamish of Cobb Hollow (ET,PV,D)",2022-04-08,290.0,480.0,1.48,7.74,1.61,0.11,3.45,31.0,0.11,2023-01-23,125,Junior Bull Calf,2023
101,7,16,36,64,47,"Flatheads North Fork (PV,D)",2021-04-12,287.0,668.0,2.15,8.31,1.24,0.09,2.86,30.0,0.1,2022-01-24,123,Junior Bull Calf,2022
102,6,18,35,63,60,Holy Cross Red Ryder (D),2021-03-23,307.0,706.0,2.14,8.46,1.2,0.05,2.85,33.0,0.11,2022-01-24,122,Junior Bull Calf,2022
103,43,35,2,38,34,Nashville of Storybrooke Farm (D),2024-03-29,300.0,628.0,1.93,9.71,1.55,0.18,1.58,30.0,0.04,2025-01-23,118,Junior Bull Calf,2025
104,18,31,56,12,53,SWM Prime Time (D),2019-01-04,381.0,677.0,1.65,9.32,1.38,0.09,3.27,35.5,0.09,2020-01-20,117,Junior Bull Calf,2020
105,31,38,3,34,55,Clearwater's Valiant (D),2024-02-26,332.0,682.0,1.9,9.88,1.45,0.19,1.63,31.0,0.04,2025-01-23,106,Junior Bull Calf,2025
106,10,14,34,46,44,SA Flynn (D),2017-03-21,307.0,656.0,1.97,8.18,1.25,0.09,2.82,28.0,0.09,2018-01-22,104,Junior Bull Calf,2018
107,40,19,13,32,13,"NostradamusOfBlackHillsHighlands (AI,D)",2024-04-29,269.0,556.0,1.88,8.52,1.53,0.11,2.19,27.0,0.03,2025-01-23,104,Junior Bull Calf,2025
108,21,20,28,29,25,RAM Rumble (D),2018-03-29,298.0,606.0,1.87,8.56,1.41,0.24,2.67,31.5,0.11,2019-01-21,98,Junior Bull Calf,2019
109,63,23,4,7,7,"HC New Heights (PV,D)",2024-03-30,299.0,510.0,1.54,8.6,1.69,0.19,1.7,27.0,0.01,2025-01-23,97,Junior Bull Calf,2025
110,35,22,14,21,17,Almosta Farm's Beau (D),2017-03-27,301.0,577.0,1.75,8.59,1.49,0.09,2.22,31.0,0.1,2018-01-22,92,Junior Bull Calf,2018
111,4,5,51,23,45,"Finn of Flatland Farm (AI,PV,D)",2023-02-20,336.0,657.0,1.81,7.56,1.15,0.13,3.03,33.0,0.1,2024-01-22,83,Junior Bull Calf,2024
112,26,17,9,26,23,RAM Bodacious (D),2022-04-02,296.0,594.0,1.84,8.42,1.42,0.09,2.12,30.0,0.1,2023-01-23,78,Junior Bull Calf,2023
113,28,6,27,17,10,"Navalny of BlackHillsHighlands (AI,D)",2024-04-12,286.0,540.0,1.71,7.71,1.43,0.17,2.6,27.0,0.02,2025-01-23,78,Junior Bull Calf,2025
114,30,21,7,6,21,"Beyond Hope Fort Knox (AI,D)",2024-02-02,356.0,594.0,1.53,8.57,1.44,0.18,1.97,31.0,0.02,2025-01-23,64,Junior Bull Calf,2025
115,12,3,18,27,11,Double LL Fella (D),2017-04-30,267.0,544.0,1.85,6.9,1.27,0.16,2.44,25.0,0.09,2018-01-22,60,Junior Bull Calf,2018
116,2,1,12,40,19,Rocky Acres Tspoon (D),2021-04-23,276.0,584.0,1.93,6.3,1.08,0.06,2.13,29.5,0.11,2022-01-24,55,Junior Bull Calf,2022
117,3,2,16,31,27,"T-Ross Noah (ET,PV,D)",2024-03-30,299.0,613.0,1.88,6.76,1.1,0.18,2.29,26.0,0.02,2025-01-23,52,Junior Bull Calf,2025
118,11,9,5,25,30,"RVH Lex (PV,D)",2024-03-20,309.0,615.0,1.83,7.84,1.27,0.16,1.81,28.0,0.03,2025-01-23,50,Junior Bull Calf,2025
119,13,12,6,19,29,"Beyond Hope RW's Seamus (AI,D)",2021-03-02,328.0,615.0,1.72,7.98,1.3,0.07,1.85,28.0,0.09,2022-01-24,50,Junior Bull Calf,2022
120,16,13,10,4,22,Highland Acres Blackjack (D),2021-01-26,363.0,594.0,1.5,8.02,1.35,0.04,2.13,30.0,0.08,2022-01-24,43,Junior Bull Calf,2022
121,15,4,1,14,12,"Circle V Grizzly Rose (ET,PV,D)",2024-04-03,295.0,547.0,1.68,7.41,1.35,0.15,1.41,29.0,0.02,2025-01-23,34,Junior Bull Calf,2025
122,23,24,23,17,21,"Windemere Everest (AI,D)",2016-09-07,502.0,1022.0,1.94,17.92,1.75,0.16,3.8,38.0,0.08,2018-01-22,87,Senior Bull Calf,2018
123,13,23,24,20,23,LEA Niadh (D),2017-09-01,507.0,1102.0,2.07,14.93,1.35,0.34,4.12,35.0,0.07,2019-01-21,80,Senior Bull Calf,2019
124,21,22,6,22,15,J Bar T's Iron Mike (D),2014-12-10,407.0,925.0,2.15,14.73,1.59,0.18,2.61,36.0,0.09,2016-01-21,71,Senior Bull Calf,2016
125,18,17,19,13,9,Homestead's Gryphon (D),2018-11-24,422.0,822.0,1.83,12.04,1.46,0.09,3.51,35.0,0.08,2020-01-20,67,Senior Bull Calf,2020
126,11,20,13,23,24,"WL Lincoln (ET,D)",2022-09-12,497.0,1132.0,2.18,14.42,1.27,0.24,3.18,40.0,0.08,2024-01-22,67,Senior Bull Calf,2024
127,19,21,9,15,19,"Summit Ranch Fritz (ET,D)",2017-09-02,506.0,999.0,1.88,14.58,1.46,0.26,2.64,33.0,0.07,2019-01-21,64,Senior Bull Calf,2019
128,14,15,21,12,11,Kesabe's Homebrew (D),2021-10-26,454.0,870.0,1.81,11.71,1.35,0.17,3.56,33.0,0.07,2023-01-23,62,Senior Bull Calf,2023
129,6,19,7,24,22,Spring Creek General (D),2018-11-12,434.0,1060.0,2.33,12.97,1.22,0.29,2.61,41.0,0.09,2020-01-20,56,Senior Bull Calf,2020
130,20,9,17,10,5,"HHH Black Kanyon (PV,D)",2021-12-22,397.0,742.0,1.74,11.18,1.51,0.17,3.37,31.0,0.08,2023-01-23,56,Senior Bull Calf,2023
131,12,18,12,11,14,TJH Big Chungus (D),2022-09-10,499.0,918.0,1.74,12.19,1.33,0.21,3.1,36.0,0.07,2024-01-22,53,Senior Bull Calf,2024
132,10,16,3,21,16,Silva's Sugar Daddy (D),2021-11-18,431.0,950.0,2.09,11.99,1.26,0.1,2.29,31.0,0.07,2023-01-23,50,Senior Bull Calf,2023
133,9,11,10,18,13,"Kesabe's Moonshine Road (PV,D)",2023-11-09,441.0,913.0,1.96,11.43,1.25,0.19,2.76,33.0,0.06,2025-01-23,48,Senior Bull Calf,2025
134,5,13,15,14,17,CBS Red Alert (D),2022-09-18,491.0,959.0,1.85,11.67,1.22,0.14,3.24,33.0,0.07,2024-01-22,47,Senior Bull Calf,2024
135,22,12,4,6,3,Kesabe's Hot Tamale (D),2022-11-14,434.0,715.0,1.53,11.53,1.61,0.11,2.35,36.0,0.08,2024-01-22,44,Senior Bull Calf,2024
136,16,14,5,8,10,"TC Murdach (AI,D)",2023-10-02,479.0,836.0,1.64,11.69,1.4,0.15,2.39,38.0,0.03,2025-01-23,43,Senior Bull Calf,2025
137,7,7,20,9,12,"J Bar T's Conan (AI,D)",2016-10-01,478.0,872.0,1.72,10.73,1.23,0.09,3.53,35.0,0.07,2018-01-22,43,Senior Bull Calf,2018
138,2,6,14,19,18,RTH Jefferson (D),2020-10-30,451.0,974.0,2.05,10.64,1.09,0.17,3.22,37.0,0.08,2022-01-24,41,Senior Bull Calf,2022
139,15,8,11,4,8,TJH Paladin (D),2022-09-01,508.0,819.0,1.51,11.02,1.35,0.11,2.95,37.0,0.07,2024-01-22,38,Senior Bull Calf,2024
140,17,5,8,7,2,"Gryphon Epsilon Rampion (PV,D)",2022-11-22,426.0,705.0,1.54,10.19,1.45,0.14,2.62,32.0,0.08,2024-01-22,37,Senior Bull Calf,2024
141,8,4,18,3,6,Magic of Dundonald (D),2022-09-15,494.0,778.0,1.47,9.65,1.24,0.43,3.51,37.0,0.07,2024-01-22,33,Senior Bull Calf,2024
142,3,10,1,16,20,TJH Chunka Loaf (D),2023-09-06,505.0,1013.0,1.91,11.41,1.13,0.18,1.14,34.0,0.06,2025-01-23,30,Senior Bull Calf,2025
143,24,2,2,1,1,Hartman Highland Fergus (D),2018-11-27,419.0,472.0,1.01,8.4,1.78,0.06,2.1,29.0,0.07,2020-01-20,29,Senior Bull Calf,2020
144,1,1,22,5,7,KCC Willie (D),2021-09-25,485.0,785.0,1.52,8.32,1.06,0.15,3.64,35.0,0.07,2023-01-23,29,Senior Bull Calf,2023
145,4,3,16,2,4,"Hercules Dubh AH Ranch (AI,D)",2018-09-30,477.0,740.0,1.45,9.02,1.22,0.41,3.33,35.0,0.07,2020-01-20,25,Senior Bull Calf,2020
146,29,32,27,18,18,Bennachie's MacArthur (D),2014-05-18,613.0,1134.0,1.77,16.54,1.46,0.14,3.62,35.0,0.06,2016-01-21,106,Intermediate Yearling Bull,2016
147,7,33,33,33,33,"Trafalgar Finley (ET,D)",2017-05-02,629.0,1527.0,2.35,17.72,1.16,0.26,4.75,42.5,0.07,2019-01-21,106,Intermediate Yearling Bull,2019
148,28,31,22,22,22,"CSF Rutherford (AI,D)",2016-05-18,614.0,1179.0,1.84,16.54,1.4,0.19,3.47,40.0,0.07,2018-01-22,103,Intermediate Yearling Bull,2018
