,rea_ratio_score,rea_score,imf_score,adg_score,weight,Name,DOB,Days_Old,Weight,ADG,REA,REA_per_100,Backfat,%IMF,Scrotal,scrotal_cm_per_day,Meas_Date,bull_score,Class,Meas_Delta_yr,Meas_Year
23,15,32,9,46,41,"Mid-Lakes Trailblazer (AI,PV,D)",2024-06-25,212.0,665.0,2.9,9.77,1.47,0.17,2.3,28.0,0.06,2025-01-23,102,Intermediate Bull Calf,,2025
24,26,34,19,22,33,Flatheads Spey (D),2013-05-02,266.0,605.0,2.09,9.906,1.64,0.265,2.781,31.0,0.12,2014-01-23,101,Intermediate Bull Calf,,2014
25,41,15,38,5,8,CRR Antarctic Rebel,2015-06-24,211.0,412.0,1.72,8.08,1.96,0.11,3.69,0.0,0.0,2016-01-21,99,Intermediate Bull Calf,,2016
26,30,21,32,12,20,JAT Big Poppa (D),2023-05-06,261.0,539.0,1.87,9.09,1.69,0.11,3.29,23.0,0.09,2024-01-22,95,Intermediate Bull Calf,,2024
27,40,26,18,8,13,LEA Night Moves (D),2017-05-26,241.0,484.0,1.8,9.38,1.94,0.09,2.77,27.0,0.11,2018-01-22,92,Intermediate Bull Calf,,2018
28,31,28,13,18,24,Keltie of Highland Spice (D),2021-05-17,252.0,559.0,2.02,9.55,1.71,0.08,2.56,23.0,0.09,2022-01-24,90,Intermediate Bull Calf,,2022
29,23,4,47,9,3,UCR ZorrowsRockinSteel (D),2017-07-22,184.0,383.0,1.81,6.23,1.63,0.08,4.23,23.0,0.12,2018-01-22,83,Intermediate Bull Calf,,2018
30,14,14,35,15,21,"JAT Calum of the Castle (PV,D)",2023-05-14,253.0,541.0,1.94,7.96,1.47,0.1,3.58,21.0,0.08,2024-01-22,78,Intermediate Bull Calf,,2024
31,22,12,33,11,12,Magic of Camel Creek (D),2023-06-02,234.0,481.0,1.84,7.76,1.61,0.09,3.55,27.0,0.12,2024-01-22,78,Intermediate Bull Calf,,2024
32,21,30,1,26,32,Skye High Natural Law (D),2024-05-07,261.0,602.0,2.11,9.63,1.6,0.16,1.49,31.0,0.05,2025-01-23,78,Intermediate Bull Calf,,2025
33,12,20,12,32,35,Highland Spice Ninja Pepper (D),2024-05-17,251.0,614.0,2.25,8.93,1.45,0.17,2.37,28.0,0.05,2025-01-23,76,Intermediate Bull Calf,,2025
34,10,22,10,33,36,"Flatheads South Fork (PV,D)",2021-05-10,259.0,633.0,2.25,9.12,1.44,0.12,2.31,29.0,0.11,2022-01-24,75,Intermediate Bull Calf,,2022
35,36,8,6,23,7,"CTK William Wallace (AI,D)",2015-08-02,172.0,412.0,2.1,7.46,1.81,0.12,2.18,0.0,0.0,2016-01-21,73,Intermediate Bull Calf,,2016
36,1,13,21,36,42,"PC Moorcroft (AI,PV,D)",2021-05-01,268.0,682.0,2.36,7.77,1.14,0.09,2.83,29.0,0.11,2022-01-24,71,Intermediate Bull Calf,,2022
37,9,9,36,13,18,"Windemere Kingsmark (AI,D)",2021-05-22,247.0,523.0,1.91,7.48,1.43,0.15,3.63,29.0,0.12,2022-01-24,67,Intermediate Bull Calf,,2022
38,18,19,7,20,25,Holy Cross Dominic (D),2021-05-21,248.0,565.0,2.08,8.79,1.56,0.04,2.2,30.0,0.12,2022-01-24,64,Intermediate Bull Calf,,2022
39,11,18,8,24,30,Bennachie's Ogilvie (D),2017-05-07,260.0,596.0,2.1,8.64,1.45,0.23,2.23,28.0,0.11,2018-01-22,61,Intermediate Bull Calf,,2018
40,3,10,30,14,22,Flatheads Choice (D),2018-05-05,261.0,549.0,1.91,7.53,1.37,0.07,3.21,32.0,0.12,2019-01-21,57,Intermediate Bull Calf,,2019
41,16,11,17,6,15,CBS High Calibre (D),2021-05-11,258.0,496.0,1.73,7.61,1.53,0.09,2.65,26.0,0.1,2022-01-24,50,Intermediate Bull Calf,,2022
42,2,7,11,29,19,"PC Copperhead Road (AI,D)",2018-06-16,219.0,530.0,2.19,7.1,1.34,0.1,2.31,24.0,0.11,2019-01-21,49,Intermediate Bull Calf,,2019
43,37,2,4,1,1,Colored Rain Loki (D),2014-06-30,206.0,252.0,0.98,4.71,1.87,0.12,2.1,17.0,0.08,2015-01-22,44,Intermediate Bull Calf,,2015
44,17,6,3,10,10,Holy Cross Winston (D),2014-06-20,216.0,448.0,1.84,6.95,1.55,0.14,2.08,24.0,0.11,2015-01-22,36,Intermediate Bull Calf,,2015
45,7,1,24,2,2,TJH Rocky (D),2021-08-05,172.0,300.0,1.45,4.26,1.42,0.07,2.89,25.0,0.15,2022-01-24,34,Intermediate Bull Calf,,2022
46,5,3,16,3,4,Dundonald's Gruaidh (D),2021-06-28,210.0,388.0,1.61,5.47,1.41,0.06,2.64,25.5,0.12,2022-01-24,27,Intermediate Bull Calf,,2022
47,8,5,2,7,11,TBJ's Bocephus (D),2019-06-09,225.0,454.0,1.8,6.5,1.43,0.07,1.95,24.0,0.11,2020-01-20,22,Intermediate Bull Calf,,2020
48,102,93,106,94,56,Double LL Dillon (D),2015-04-23,273.0,654.0,2.21,12.27,1.88,0.12,4.32,27.0,0.1,2016-01-21,395,Junior Bull Calf,,2016
49,103,109,96,80,103,"STR Braden (AI,D)",2013-01-01,387.0,862.0,2.1,16.495,1.91,0.248,3.795,31.0,0.08,2014-01-23,388,Junior Bull Calf,,2014
50,98,94,94,86,65,BRF Mr. Big (D),2013-04-07,291.0,676.0,2.15,12.329,1.82,0.209,3.752,33.0,0.11,2014-01-23,372,Junior Bull Calf,,2014
51,75,97,99,99,89,"STR Double Shot (AI,D)",2015-03-16,311.0,755.0,2.27,12.66,1.68,0.12,3.9,34.0,0.11,2016-01-21,370,Junior Bull Calf,,2016
52,104,101,92,67,76,Skye High Gibraltar (D),2018-03-05,322.0,702.0,2.02,13.62,1.94,0.21,3.69,33.0,0.1,2019-01-21,364,Junior Bull Calf,,2019
53,89,100,65,100,91,"Windemere Duke (AI,D)",2015-03-16,311.0,764.0,2.3,13.31,1.74,0.11,3.05,32.0,0.1,2016-01-21,354,Junior Bull Calf,,2016
54,72,104,98,75,99,"BRF Bernie (ET,D)",2013-01-10,378.0,831.0,2.07,13.896,1.67,0.208,3.85,29.0,0.08,2014-01-23,349,Junior Bull Calf,,2014
55,97,103,25,107,90,Flatheads Dawson (D),2019-04-03,292.0,759.0,2.43,13.69,1.8,0.22,2.52,33.0,0.11,2020-01-20,332,Junior Bull Calf,,2020
56,55,95,78,102,94,"T-Ross Summit Ranch Laydon (ET,PV,D)",2022-03-10,319.0,790.0,2.32,12.44,1.57,0.2,3.4,34.0,0.11,2023-01-23,330,Junior Bull Calf,,2023
57,87,78,109,45,52,Holy Cross Marcus (D),2019-03-15,311.0,647.0,1.92,11.11,1.72,0.16,4.95,28.0,0.09,2020-01-20,319,Junior Bull Calf,,2020
58,50,89,85,93,92,HHH Kodiak (D),2021-02-28,330.0,775.0,2.2,11.94,1.54,0.21,3.49,31.0,0.09,2022-01-24,317,Junior Bull Calf,,2022
59,101,96,58,59,61,Skye High Freemason (D),2017-03-13,315.0,669.0,1.97,12.59,1.88,0.12,2.97,30.0,0.1,2018-01-22,314,Junior Bull Calf,,2018
60,85,83,93,52,66,Skye High Delagrange (D),2015-03-04,323.0,676.0,1.94,11.55,1.71,0.16,3.7,33.0,0.1,2016-01-21,313,Junior Bull Calf,,2016
61,36,82,82,109,93,RTH Grissom (D),2018-04-17,279.0,790.0,2.65,11.49,1.45,0.2,3.43,35.0,0.13,2019-01-21,309,Junior Bull Calf,,2019
62,73,106,24,106,100,SA Dunlin (D),2015-03-01,326.0,832.0,2.4,13.91,1.67,0.18,2.5,29.0,0.09,2016-01-21,309,Junior Bull Calf,,2016
63,105,99,49,53,54,Almosta Farm's Brogan (D),2015-03-17,310.0,650.0,1.94,12.75,1.96,0.11,2.89,30.0,0.1,2016-01-21,306,Junior Bull Calf,,2016
64,92,98,29,84,82,Skye High Convoy (D),2014-03-13,315.0,720.0,2.13,12.66,1.76,0.18,2.55,32.0,0.1,2015-01-22,303,Junior Bull Calf,,2015
65,78,108,26,90,106,CBS Duncan's Blitz (D),2019-01-05,380.0,877.0,2.18,14.82,1.69,0.19,2.53,36.0,0.09,2020-01-20,302,Junior Bull Calf,,2020
66,45,71,107,78,80,Almosta Farm's Baron (D),2018-03-11,316.0,713.0,2.1,10.87,1.52,0.09,4.75,27.0,0.09,2019-01-21,301,Junior Bull Calf,,2019
67,69,77,90,64,63,"Spring Creek Dusty (AI,D)",2015-03-17,310.0,671.0,2.0,11.06,1.65,0.11,3.68,34.0,0.11,2016-01-21,300,Junior Bull Calf,,2016
68,33,85,108,69,97,"HSC Hudson (AI,D)",2019-01-08,377.0,819.0,2.04,11.71,1.43,0.2,4.76,33.0,0.09,2020-01-20,295,Junior Bull Calf,,2020
69,44,107,35,108,108,Viking Fold Haakon (D),2019-02-07,347.0,948.0,2.59,14.28,1.51,0.16,2.6,31.0,0.09,2020-01-20,294,Junior Bull Calf,,2020
70,5,81,102,105,109,"Mid-Lakes BigShot (AI,D)",2023-01-01,386.0,970.0,2.38,11.24,1.16,0.12,4.1,37.0,0.1,2024-01-22,293,Junior Bull Calf,,2024
71,107,102,32,49,71,Argyll's Jaco (D),2013-02-28,329.0,685.0,1.93,13.625,1.99,0.248,2.579,34.0,0.1,2014-01-23,290,Junior Bull Calf,,2014
72,67,57,105,60,45,Holy Cross Jett (D),2019-04-01,294.0,630.0,1.97,10.34,1.64,0.3,4.3,30.0,0.1,2020-01-20,289,Junior Bull Calf,,2020
73,51,105,30,103,107,"FSH Confucius (ET,PV,D)",2022-01-22,366.0,901.0,2.33,13.9,1.54,0.16,2.56,38.0,0.1,2023-01-23,289,Junior Bull Calf,,2023
74,57,87,80,62,85,"BRF Barra (AI,D)",2013-02-07,350.0,745.0,1.99,11.742,1.58,0.164,3.421,29.0,0.08,2014-01-23,286,Junior Bull Calf,,2014
75,109,66,103,8,10,Basswood 3 o`Dundonald (D),2013-03-23,306.0,528.0,1.56,10.671,2.02,0.124,4.208,27.0,0.09,2014-01-23,286,Junior Bull Calf,,2014
76,80,52,86,63,33,Bennachie's Jax (D),2018-04-17,279.0,607.0,2.0,10.23,1.69,0.07,3.52,32.0,0.11,2019-01-21,281,Junior Bull Calf,,2019
77,62,69,51,98,64,"Liberty of Highland Spice (PV,D)",2022-04-24,274.0,673.0,2.27,10.76,1.6,0.12,2.91,31.0,0.11,2023-01-23,280,Junior Bull Calf,,2023
78,83,80,44,71,59,"11M Ranch Fergus (PV,D)",2023-03-28,300.0,661.0,2.04,11.21,1.7,0.1,2.82,31.0,0.1,2024-01-22,278,Junior Bull Calf,,2024
79,94,67,81,35,30,J Bar T's Thor (D),2013-04-01,297.0,602.0,1.86,10.712,1.78,0.194,3.422,29.0,0.1,2014-01-23,277,Junior Bull Calf,,2014
80,40,73,67,96,87,Skye High Capone (D),2014-03-15,313.0,753.0,2.25,10.98,1.46,0.19,3.13,33.0,0.11,2015-01-22,276,Junior Bull Calf,,2015
81,61,76,62,77,73,"PellCreeks King Fergus (AI,D)",2013-03-24,305.0,688.0,2.09,11.024,1.6,0.195,3.029,26.0,0.09,2014-01-23,276,Junior Bull Calf,,2014
82,91,90,76,19,70,Skye High Honor (D),2019-01-08,377.0,683.0,1.68,11.96,1.75,0.21,3.33,31.5,0.08,2020-01-20,276,Junior Bull Calf,,2020
83,52,46,89,88,50,Bennachie's Moray (D),2018-04-21,275.0,645.0,2.16,9.98,1.55,0.2,3.67,27.0,0.1,2019-01-21,275,Junior Bull Calf,,2019
84,95,62,68,48,25,RAM Liberty (D),2017-04-16,281.0,591.0,1.93,10.52,1.78,0.12,3.18,31.0,0.11,2018-01-22,273,Junior Bull Calf,,2018
85,70,64,69,68,47,Flatheads Glenkinchie (D),2013-04-08,290.0,639.0,2.03,10.627,1.66,0.248,3.212,34.0,0.12,2014-01-23,271,Junior Bull Calf,,2014
86,108,79,47,36,15,MT Pendleton (D),2018-04-24,272.0,556.0,1.86,11.19,2.01,0.17,2.87,27.0,0.1,2019-01-21,270,Junior Bull Calf,,2019
87,84,72,72,34,48,Almosta Farm's Tycen (D),2013-03-12,317.0,640.0,1.86,10.904,1.7,0.212,3.259,21.0,0.07,2014-01-23,262,Junior Bull Calf,,2014
88,41,75,104,42,83,"Symbiosis Sir Titan (ET,D)",2019-01-21,364.0,742.0,1.9,11.0,1.48,0.15,4.3,33.0,0.09,2020-01-20,262,Junior Bull Calf,,2020
89,63,58,70,70,53,Flatheads Aodhair (D),2015-04-02,294.0,649.0,2.04,10.38,1.6,0.18,3.25,31.0,0.11,2016-01-21,261,Junior Bull Calf,,2016
90,60,60,79,58,55,SC Finnegan (D),2017-03-23,305.0,652.0,1.97,10.45,1.6,0.14,3.42,36.0,0.12,2018-01-22,257,Junior Bull Calf,,2018
91,71,55,87,43,42,Bennachie's Sterling (D),2015-03-29,298.0,620.0,1.91,10.31,1.66,0.19,3.59,33.0,0.11,2016-01-21,256,Junior Bull Calf,,2016
92,27,92,41,92,102,"Symbiosis Sir Yukon (ET,D)",2017-01-18,369.0,859.0,2.19,12.11,1.41,0.14,2.78,34.0,0.09,2018-01-22,252,Junior Bull Calf,,2018
93,58,88,11,95,84,"Creek Run Fozzie (ET,PV,D)",2022-03-17,312.0,745.0,2.23,11.76,1.58,0.1,2.13,28.0,0.09,2023-01-23,252,Junior Bull Calf,,2023
94,29,44,75,104,74,HS Love Is A Rose (D),2022-04-23,275.0,694.0,2.34,9.85,1.42,0.1,3.3,27.0,0.1,2023-01-23,252,Junior Bull Calf,,2023
95,47,70,52,82,78,Howling Springs Barron the Bul (D),2022-03-17,312.0,708.0,2.11,10.76,1.52,0.18,2.91,38.0,0.12,2023-01-23,251,Junior Bull Calf,,2023
96,65,53,59,66,46,"Highland Spice Mercury (PV,D)",2023-04-07,290.0,635.0,2.02,10.28,1.62,0.11,2.97,33.0,0.11,2024-01-22,243,Junior Bull Calf,,2024
97,17,74,48,101,96,"KFR Samson (AI,PV,D)",2024-02-27,331.0,814.0,2.31,10.99,1.35,0.19,2.89,32.0,0.07,2025-01-23,240,Junior Bull Calf,,2025
98,46,59,28,91,72,Flatheads Deveron (D),2014-04-06,291.0,685.0,2.18,10.39,1.52,0.15,2.54,31.0,0.11,2015-01-22,224,Junior Bull Calf,,2015
99,86,47,64,27,23,FTA Ruger (D),2014-04-01,296.0,586.0,1.81,10.03,1.71,0.21,3.05,30.0,0.1,2015-01-22,224,Junior Bull Calf,,2015
100,93,34,74,23,9,TSR Velveteen Rabbit (D),2019-04-19,276.0,525.0,1.72,9.3,1.77,0.07,3.28,27.0,0.1,2020-01-20,224,Junior Bull Calf,,2020
101,90,56,31,46,26,We Tired Rocky (D),2014-04-15,282.0,593.0,1.93,10.33,1.74,0.08,2.57,33.0,0.12,2015-01-22,223,Junior Bull Calf,,2015
102,23,61,77,61,86,"BRF Mr Clets (ET,D)",2014-02-03,353.0,750.0,1.98,10.48,1.4,0.15,3.34,31.0,0.09,2015-01-22,222,Junior Bull Calf,,2015
103,28,84,33,73,98,DH Premier (D),2017-01-12,375.0,822.0,2.06,11.61,1.41,0.17,2.59,35.0,0.09,2018-01-22,218,Junior Bull Calf,,2018
104,25,65,54,72,88,GNH Saint Valentine (D),2023-02-15,341.0,754.0,2.06,10.66,1.41,0.06,2.93,35.0,0.1,2024-01-22,216,Junior Bull Calf,,2024
105,100,68,38,9,21,"Beyond Hope Sutton (AI,D)",2022-02-21,336.0,580.0,1.58,10.72,1.85,0.1,2.68,31.0,0.09,2023-01-23,215,Junior Bull Calf,,2023
106,88,26,88,10,6,Snowland G. Markee (D),2015-04-16,280.0,498.0,1.6,8.6,1.73,0.12,3.63,22.0,0.08,2016-01-21,212,Junior Bull Calf,,2016
107,68,50,20,74,41,Bennachie's Glen (D),2017-04-22,275.0,619.0,2.07,10.18,1.64,0.15,2.43,29.0,0.11,2018-01-22,212,Junior Bull Calf,,2018
108,22,91,8,89,104,"MES Marvelous Miles (AI,PV,D)",2024-01-12,377.0,864.0,2.16,12.07,1.4,0.21,2.01,34.0,0.07,2025-01-23,210,Junior Bull Calf,,2025
109,81,42,56,30,19,Highland Spice Hickory (D),2019-04-08,287.0,574.0,1.83,9.73,1.7,0.07,2.94,28.0,0.1,2020-01-20,209,Junior Bull Calf,,2020
110,99,32,61,15,5,Clearwater's Vance (D),2019-04-28,267.0,492.0,1.66,9.01,1.83,0.08,3.01,30.0,0.11,2020-01-20,207,Junior Bull Calf,,2020
111,76,86,23,22,75,LSK Duke (D),2017-01-12,375.0,696.0,1.72,11.72,1.68,0.12,2.46,30.0,0.08,2018-01-22,207,Junior Bull Calf,,2018
112,77,40,66,24,18,Flatheads Talisker (D),2013-03-29,300.0,572.0,1.74,9.611,1.68,0.212,3.124,33.0,0.11,2014-01-23,207,Junior Bull Calf,,2014
113,9,15,97,83,62,"STR Burning It Down (ET,D)",2017-04-06,291.0,669.0,2.13,8.29,1.24,0.09,3.81,32.0,0.11,2018-01-22,204,Junior Bull Calf,,2018
114,66,63,13,56,51,We Tired Horace (D),2013-03-25,304.0,646.0,1.96,10.557,1.63,0.194,2.179,29.0,0.1,2014-01-23,198,Junior Bull Calf,,2014
115,32,54,57,50,81,"HHH Gold Kanyon (PV,D)",2021-02-13,345.0,717.0,1.93,10.28,1.43,0.18,2.95,31.0,0.09,2022-01-24,193,Junior Bull Calf,,2022
116,106,28,53,2,2,"Defiance of Dundonald (AI,D)",2015-04-25,271.0,443.0,1.45,8.77,1.98,0.12,2.91,25.0,0.09,2016-01-21,189,Junior Bull Calf,,2016
117,19,36,50,76,68,Holy Cross Black Jack (D),2018-03-24,303.0,680.0,2.08,9.36,1.38,0.2,2.89,30.0,0.1,2019-01-21,181,Junior Bull Calf,,2019
118,43,33,91,13,31,RAM Cupid (D),2017-02-16,340.0,603.0,1.63,9.07,1.5,0.09,3.69,32.0,0.09,2018-01-22,180,Junior Bull Calf,,2018
119,96,11,71,1,1,SFF John o'Groats (D),2015-04-19,277.0,442.0,1.42,7.96,1.8,0.12,3.25,26.0,0.09,2016-01-21,179,Junior Bull Calf,,2016
120,11,48,39,81,95,"Stagecoach Wells Fargo (PV,D)",2021-02-02,356.0,802.0,2.11,10.05,1.25,0.04,2.73,32.0,0.09,2022-01-24,179,Junior Bull Calf,,2022
121,82,8,84,5,3,Kesabe's Mayhem (D),2023-04-29,268.0,457.0,1.52,7.76,1.7,0.09,3.46,33.0,0.12,2024-01-22,179,Junior Bull Calf,,2024
122,38,21,100,17,24,"BEM Boomer (AI,D)",2013-03-08,321.0,588.0,1.68,8.536,1.45,0.294,4.02,27.0,0.08,2014-01-23,176,Junior Bull Calf,,2014
123,37,31,95,12,39,Dundonald's Cho Sona,2017-02-06,350.0,617.0,1.62,8.93,1.45,0.08,3.79,30.0,0.09,2018-01-22,175,Junior Bull Calf,,2018
124,74,27,55,18,8,RAM BB King (D),2015-04-16,280.0,521.0,1.68,8.76,1.68,0.12,2.93,32.0,0.11,2016-01-21,174,Junior Bull Calf,,2016
125,21,10,101,40,17,Holy Cross Finn (D),2023-04-23,274.0,566.0,1.88,7.92,1.4,0.15,4.1,31.0,0.11,2024-01-22,172,Junior Bull Calf,,2024
126,56,49,37,26,49,RAM Wyatt (D),2019-02-28,326.0,641.0,1.81,10.06,1.57,0.12,2.67,28.0,0.09,2020-01-20,168,Junior Bull Calf,,2020
127,1,37,27,97,105,"FSH Maxamillion (ET,D)",2021-01-25,364.0,872.0,2.26,9.36,1.07,0.08,2.54,41.0,0.11,2022-01-24,162,Junior Bull Calf,,2022
128,53,39,16,54,35,Flatheads Dunn (D),2018-04-06,290.0,613.0,1.94,9.52,1.55,0.07,2.27,30.0,0.1,2019-01-21,162,Junior Bull Calf,,2019
129,64,7,83,3,4,"BRJ Hamish of Cobb Hollow (ET,PV,D)",2022-04-08,290.0,480.0,1.48,7.74,1.61,0.11,3.45,31.0,0.11,2023-01-23,157,Junior Bull Calf,,2023
130,8,16,46,87,60,"Flatheads North Fork (PV,D)",2021-04-12,287.0,668.0,2.15,8.31,1.24,0.09,2.86,30.0,0.1,2022-01-24,157,Junior Bull Calf,,2022
131,6,51,21,79,101,"STR Ruthless Game (AI,D)",2014-01-03,384.0,858.0,2.1,10.23,1.19,0.19,2.43,38.5,0.1,2015-01-22,157,Junior Bull Calf,,2015
132,7,18,45,85,77,Holy Cross Red Ryder (D),2021-03-23,307.0,706.0,2.14,8.46,1.2,0.05,2.85,33.0,0.11,2022-01-24,155,Junior Bull Calf,,2022
133,59,43,19,31,40,"STR Optimum Prime (AI,D)",2014-03-17,311.0,618.0,1.83,9.84,1.59,0.19,2.35,28.0,0.09,2015-01-22,152,Junior Bull Calf,,2015
134,35,29,42,44,34,Bennachie's Zorro (D),2014-04-05,292.0,610.0,1.92,8.8,1.44,0.17,2.8,29.0,0.1,2015-01-22,150,Junior Bull Calf,,2015
135,54,41,2,51,44,Nashville of Storybrooke Farm (D),2024-03-29,300.0,628.0,1.93,9.71,1.55,0.18,1.58,30.0,0.04,2025-01-23,148,Junior Bull Calf,,2025
136,15,38,40,55,79,"CBS Jameson (AI,D)",2014-02-15,341.0,712.0,1.94,9.43,1.32,0.19,2.74,31.0,0.09,2015-01-22,148,Junior Bull Calf,,2015
137,20,35,73,14,67,SWM Prime Time (D),2019-01-04,381.0,677.0,1.65,9.32,1.38,0.09,3.27,35.5,0.09,2020-01-20,142,Junior Bull Calf,,2020
138,48,20,60,11,16,Maple Hill Cecil (D),2014-03-12,316.0,559.0,1.61,8.53,1.53,0.13,2.98,28.0,0.09,2015-01-22,139,Junior Bull Calf,,2015
139,24,30,18,65,43,"Pell Creeks Pendleton (AI,D)",2014-04-10,287.0,627.0,2.01,8.87,1.41,0.19,2.32,30.0,0.1,2015-01-22,137,Junior Bull Calf,,2015
140,39,45,3,41,69,Clearwater's Valiant (D),2024-02-26,332.0,682.0,1.9,9.88,1.45,0.19,1.63,31.0,0.04,2025-01-23,128,Junior Bull Calf,,2025
141,10,14,43,57,57,SA Flynn (D),2017-03-21,307.0,656.0,1.97,8.18,1.25,0.09,2.82,28.0,0.09,2018-01-22,124,Junior Bull Calf,,2018
142,49,19,14,39,14,"NostradamusOfBlackHillsHighlands (AI,D)",2024-04-29,269.0,556.0,1.88,8.52,1.53,0.11,2.19,27.0,0.03,2025-01-23,121,Junior Bull Calf,,2025
143,26,22,36,37,32,RAM Rumble (D),2018-03-29,298.0,606.0,1.87,8.56,1.41,0.24,2.67,31.5,0.11,2019-01-21,121,Junior Bull Calf,,2019
144,79,25,4,7,7,"HC New Heights (PV,D)",2024-03-30,299.0,510.0,1.54,8.6,1.69,0.19,1.7,27.0,0.01,2025-01-23,115,Junior Bull Calf,,2025
145,42,24,15,25,20,Almosta Farm's Beau (D),2017-03-27,301.0,577.0,1.75,8.59,1.49,0.09,2.22,31.0,0.1,2018-01-22,106,Junior Bull Calf,,2018
146,4,5,63,28,58,"Finn of Flatland Farm (AI,PV,D)",2023-02-20,336.0,657.0,1.81,7.56,1.15,0.13,3.03,33.0,0.1,2024-01-22,100,Junior Bull Calf,,2024
147,31,6,34,20,11,"Navalny of BlackHillsHighlands (AI,D)",2024-04-12,286.0,540.0,1.71,7.71,1.43,0.17,2.6,27.0,0.02,2025-01-23,91,Junior Bull Calf,,2025
