,rea_ratio_score,rea_score,imf_score,adg_score,weight,Name,DOB,Days_Old,Weight,ADG,REA,REA_per_100,Backfat,%IMF,Scrotal,scrotal_cm_per_day,Meas_Date,bull_score,Class,Meas_Delta_yr,Meas_Year
18,41,53,3,44,48,"HVC's War Horse (AI,PV,D)",2025-05-02,265.0,720.0,2.53,12.85,1.78,0.21,1.33,35.0,0.08,2026-01-22,141,Intermediate Bull Calf,,2026
19,37,34,49,20,28,MVR AlbaAnAigh Duncan (D),2014-05-08,259.0,555.0,1.95,9.59,1.73,0.2,3.79,28.0,0.11,2015-01-22,140,Intermediate Bull Calf,,2015
20,54,21,50,7,9,Olaf of Hawk Ridge (D),2018-06-19,216.0,401.0,1.62,8.35,2.08,0.16,3.85,23.0,0.11,2019-01-21,132,Intermediate Bull Calf,,2019
21,27,44,25,36,43,Flatheads Ben Alter (D),2014-05-02,265.0,648.0,2.26,10.55,1.63,0.08,2.64,32.0,0.12,2015-01-22,132,Intermediate Bull Calf,,2015
22,31,30,34,34,31,"MES Ragnarok (AI,PV,D)",2022-06-06,231.0,566.0,2.23,9.35,1.65,0.08,2.98,33.0,0.14,2023-01-23,129,Intermediate Bull Calf,,2023
23,15,50,9,53,54,"Stone Fields Natrolite (PV,D)",2024-10-11,104.0,836.0,7.56,11.96,1.43,0.18,1.72,30.0,0.14,2025-01-23,127,Intermediate Bull Calf,,2025
24,34,39,23,31,38,"STR Vanderbilt (ET,D)",2019-05-04,261.0,610.0,2.15,10.23,1.68,0.07,2.6,31.0,0.12,2020-01-20,127,Intermediate Bull Calf,,2020
25,20,26,21,57,39,PR Benaiah (D),2024-12-23,31.0,622.0,18.45,9.13,1.47,0.13,2.37,30.0,0.48,2025-01-23,124,Intermediate Bull Calf,,2025
26,50,19,47,8,10,CRR Antarctic Rebel,2015-06-24,211.0,412.0,1.72,8.08,1.96,0.11,3.69,0.0,0.0,2016-01-21,124,Intermediate Bull Calf,,2016
27,30,37,28,26,37,Flatheads Spey (D),2013-05-02,266.0,605.0,2.09,9.906,1.64,0.265,2.781,31.0,0.12,2014-01-23,121,Intermediate Bull Calf,,2014
28,40,28,7,46,22,"Mid-Lakes Take Down (AI,PV,D)",2025-07-27,179.0,520.0,2.63,9.21,1.77,0.14,1.66,31.0,0.09,2026-01-22,121,Intermediate Bull Calf,,2026
29,8,35,37,40,46,Flatheads Brig (D),2019-05-06,259.0,693.0,2.48,9.68,1.4,0.19,3.13,31.0,0.12,2020-01-20,120,Intermediate Bull Calf,,2020
30,3,56,5,55,56,Neanderthal of Crocus Hill (D),2024-09-21,124.0,1127.0,8.69,14.01,1.24,0.19,1.53,34.0,0.15,2025-01-23,119,Intermediate Bull Calf,,2025
31,9,47,6,56,51,"Storybrooke Nightmare (PV,D)",2024-10-31,84.0,782.0,8.71,10.99,1.41,0.19,1.57,31.0,0.19,2025-01-23,118,Intermediate Bull Calf,,2025
32,7,55,2,54,55,"Sir Mikha'el of Noble Bear (PV,D)",2024-09-28,117.0,987.0,8.01,13.83,1.4,0.19,1.3,37.0,0.19,2025-01-23,118,Intermediate Bull Calf,,2025
33,49,31,27,11,17,LEA Night Moves (D),2017-05-26,241.0,484.0,1.8,9.38,1.94,0.09,2.77,27.0,0.11,2018-01-22,118,Intermediate Bull Calf,,2018
34,35,24,41,16,25,JAT Big Poppa (D),2023-05-06,261.0,539.0,1.87,9.09,1.69,0.11,3.29,23.0,0.09,2024-01-22,116,Intermediate Bull Calf,,2024
35,36,33,22,23,29,Keltie of Highland Spice (D),2021-05-17,252.0,559.0,2.02,9.55,1.71,0.08,2.56,23.0,0.09,2022-01-24,114,Intermediate Bull Calf,,2022
36,4,43,10,51,52,"Frontiera's Como (PV,D)",2024-05-24,244.0,787.0,3.02,10.54,1.34,0.12,1.74,38.0,0.09,2025-01-23,108,Intermediate Bull Calf,,2025
37,28,5,57,12,6,UCR ZorrowsRockinSteel (D),2017-07-22,184.0,383.0,1.81,6.23,1.63,0.08,4.23,23.0,0.12,2018-01-22,102,Intermediate Bull Calf,,2018
38,19,18,44,19,26,"JAT Calum of the Castle (PV,D)",2023-05-14,253.0,541.0,1.94,7.96,1.47,0.1,3.58,21.0,0.08,2024-01-22,100,Intermediate Bull Calf,,2024
39,26,16,43,13,16,Magic of Camel Creek (D),2023-06-02,234.0,481.0,1.84,7.76,1.61,0.09,3.55,27.0,0.12,2024-01-22,98,Intermediate Bull Calf,,2024
40,44,10,16,27,11,"CTK William Wallace (AI,D)",2015-08-02,172.0,412.0,2.1,7.46,1.81,0.12,2.18,0.0,0.0,2016-01-21,97,Intermediate Bull Calf,,2016
41,16,25,20,35,40,"Flatheads South Fork (PV,D)",2021-05-10,259.0,633.0,2.25,9.12,1.44,0.12,2.31,29.0,0.11,2022-01-24,96,Intermediate Bull Calf,,2022
42,23,23,17,25,30,Holy Cross Dominic (D),2021-05-21,248.0,565.0,2.08,8.79,1.56,0.04,2.2,30.0,0.12,2022-01-24,88,Intermediate Bull Calf,,2022
43,14,11,45,18,23,"Windemere Kingsmark (AI,D)",2021-05-22,247.0,523.0,1.91,7.48,1.43,0.15,3.63,29.0,0.12,2022-01-24,88,Intermediate Bull Calf,,2022
44,1,17,30,38,45,"PC Moorcroft (AI,PV,D)",2021-05-01,268.0,682.0,2.36,7.77,1.14,0.09,2.83,29.0,0.11,2022-01-24,86,Intermediate Bull Calf,,2022
45,17,22,18,28,35,Bennachie's Ogilvie (D),2017-05-07,260.0,596.0,2.1,8.64,1.45,0.23,2.23,28.0,0.11,2018-01-22,85,Intermediate Bull Calf,,2018
46,55,13,8,4,5,"Brassy Acres When In Rome (PV,D)",2025-07-01,205.0,364.0,1.53,7.59,2.09,0.11,1.67,21.0,0.03,2026-01-22,80,Intermediate Bull Calf,,2026
47,33,15,12,15,15,"STR Arran (AI,PV,D)",2025-06-13,223.0,464.0,1.86,7.74,1.67,0.12,1.97,24.0,0.04,2026-01-22,75,Intermediate Bull Calf,,2026
48,6,12,39,17,27,Flatheads Choice (D),2018-05-05,261.0,549.0,1.91,7.53,1.37,0.07,3.21,32.0,0.12,2019-01-21,74,Intermediate Bull Calf,,2019
49,21,14,26,9,19,CBS High Calibre (D),2021-05-11,258.0,496.0,1.73,7.61,1.53,0.09,2.65,26.0,0.1,2022-01-24,70,Intermediate Bull Calf,,2022
50,5,9,19,32,24,"PC Copperhead Road (AI,D)",2018-06-16,219.0,530.0,2.19,7.1,1.34,0.1,2.31,24.0,0.11,2019-01-21,65,Intermediate Bull Calf,,2019
51,45,2,14,1,1,Colored Rain Loki (D),2014-06-30,206.0,252.0,0.98,4.71,1.87,0.12,2.1,17.0,0.08,2015-01-22,62,Intermediate Bull Calf,,2015
52,46,7,4,5,4,"STR Lachlan (AI,PV,D)",2025-07-11,195.0,351.0,1.54,6.6,1.88,0.1,1.48,23.0,0.04,2026-01-22,62,Intermediate Bull Calf,,2026
53,22,8,13,14,13,Holy Cross Winston (D),2014-06-20,216.0,448.0,1.84,6.95,1.55,0.14,2.08,24.0,0.11,2015-01-22,57,Intermediate Bull Calf,,2015
54,12,1,33,3,3,TJH Rocky (D),2021-08-05,172.0,300.0,1.45,4.26,1.42,0.07,2.89,25.0,0.15,2022-01-24,49,Intermediate Bull Calf,,2022
55,39,3,1,2,2,GRZBlueberryHill Thrill Seeker (D),2025-07-05,201.0,276.0,1.12,4.88,1.77,0.13,1.25,22.0,0.04,2026-01-22,45,Intermediate Bull Calf,,2026
56,10,4,24,6,7,Dundonald's Gruaidh (D),2021-06-28,210.0,388.0,1.61,5.47,1.41,0.06,2.64,25.5,0.12,2022-01-24,44,Intermediate Bull Calf,,2022
57,13,6,11,10,14,TBJ's Bocephus (D),2019-06-09,225.0,454.0,1.8,6.5,1.43,0.07,1.95,24.0,0.11,2020-01-20,40,Intermediate Bull Calf,,2020
58,108,92,111,92,53,Double LL Dillon (D),2015-04-23,273.0,654.0,2.21,12.27,1.88,0.12,4.32,27.0,0.1,2016-01-21,403,Junior Bull Calf,,2016
59,109,113,101,77,103,"STR Braden (AI,D)",2013-01-01,387.0,862.0,2.1,16.495,1.91,0.248,3.795,31.0,0.08,2014-01-23,400,Junior Bull Calf,,2014
60,81,97,104,99,88,"STR Double Shot (AI,D)",2015-03-16,311.0,755.0,2.27,12.66,1.68,0.12,3.9,34.0,0.11,2016-01-21,381,Junior Bull Calf,,2016
61,104,93,99,85,62,BRF Mr. Big (D),2013-04-07,291.0,676.0,2.15,12.329,1.82,0.209,3.752,33.0,0.11,2014-01-23,381,Junior Bull Calf,,2014
62,110,103,96,65,73,Skye High Gibraltar (D),2018-03-05,322.0,702.0,2.02,13.62,1.94,0.21,3.69,33.0,0.1,2019-01-21,374,Junior Bull Calf,,2019
63,96,99,66,102,90,"Windemere Duke (AI,D)",2015-03-16,311.0,764.0,2.3,13.31,1.74,0.11,3.05,32.0,0.1,2016-01-21,363,Junior Bull Calf,,2016
64,80,106,103,72,97,"BRF Bernie (ET,D)",2013-01-10,378.0,831.0,2.07,13.896,1.67,0.208,3.85,29.0,0.08,2014-01-23,361,Junior Bull Calf,,2014
65,4,114,112,115,115,"KFR Samson (AI,PV,D)",2024-02-27,331.0,1543.0,4.51,17.36,1.13,0.34,4.44,44.0,0.09,2025-01-23,345,Junior Bull Calf,,2025
66,60,94,83,103,93,"T-Ross Summit Ranch Laydon (ET,PV,D)",2022-03-10,319.0,790.0,2.32,12.44,1.57,0.2,3.4,34.0,0.11,2023-01-23,340,Junior Bull Calf,,2023
67,102,105,25,108,89,Flatheads Dawson (D),2019-04-03,292.0,759.0,2.43,13.69,1.8,0.22,2.52,33.0,0.11,2020-01-20,340,Junior Bull Calf,,2020
68,93,75,115,43,49,Holy Cross Marcus (D),2019-03-15,311.0,647.0,1.92,11.11,1.72,0.16,4.95,28.0,0.09,2020-01-20,326,Junior Bull Calf,,2020
69,54,87,90,91,91,HHH Kodiak (D),2021-02-28,330.0,775.0,2.2,11.94,1.54,0.21,3.49,31.0,0.09,2022-01-24,322,Junior Bull Calf,,2022
70,92,81,98,51,63,Skye High Delagrange (D),2015-03-04,323.0,676.0,1.94,11.55,1.71,0.16,3.7,33.0,0.1,2016-01-21,322,Junior Bull Calf,,2016
71,42,80,87,110,92,RTH Grissom (D),2018-04-17,279.0,790.0,2.65,11.49,1.45,0.2,3.43,35.0,0.13,2019-01-21,319,Junior Bull Calf,,2019
72,79,108,24,107,98,SA Dunlin (D),2015-03-01,326.0,832.0,2.4,13.91,1.67,0.18,2.5,29.0,0.09,2016-01-21,318,Junior Bull Calf,,2016
73,107,95,59,54,59,Skye High Freemason (D),2017-03-13,315.0,669.0,1.97,12.59,1.88,0.12,2.97,30.0,0.1,2018-01-22,315,Junior Bull Calf,,2018
74,111,98,51,52,51,Almosta Farm's Brogan (D),2015-03-17,310.0,650.0,1.94,12.75,1.96,0.11,2.89,30.0,0.1,2016-01-21,312,Junior Bull Calf,,2016
75,85,110,27,87,106,CBS Duncan's Blitz (D),2019-01-05,380.0,877.0,2.18,14.82,1.69,0.19,2.53,36.0,0.09,2020-01-20,309,Junior Bull Calf,,2020
76,50,69,113,76,77,Almosta Farm's Baron (D),2018-03-11,316.0,713.0,2.1,10.87,1.52,0.09,4.75,27.0,0.09,2019-01-21,308,Junior Bull Calf,,2019
77,98,96,31,82,79,Skye High Convoy (D),2014-03-13,315.0,720.0,2.13,12.66,1.76,0.18,2.55,32.0,0.1,2015-01-22,307,Junior Bull Calf,,2015
78,75,74,95,61,60,"Spring Creek Dusty (AI,D)",2015-03-17,310.0,671.0,2.0,11.06,1.65,0.11,3.68,34.0,0.11,2016-01-21,305,Junior Bull Calf,,2016
79,48,109,37,109,109,Viking Fold Haakon (D),2019-02-07,347.0,948.0,2.59,14.28,1.51,0.16,2.6,31.0,0.09,2020-01-20,303,Junior Bull Calf,,2020
80,8,112,69,113,112,HVC Cowboy Cut (D),2024-02-26,332.0,1416.0,4.11,16.43,1.16,0.28,3.07,38.0,0.07,2025-01-23,302,Junior Bull Calf,,2025
81,35,83,114,69,95,"HSC Hudson (AI,D)",2019-01-08,377.0,819.0,2.04,11.71,1.43,0.2,4.76,33.0,0.09,2020-01-20,301,Junior Bull Calf,,2020
82,9,78,107,106,110,"Mid-Lakes BigShot (AI,D)",2023-01-01,386.0,970.0,2.38,11.24,1.16,0.12,4.1,37.0,0.1,2024-01-22,300,Junior Bull Calf,,2024
83,6,111,68,114,113,"CSF King Harald (AI,PV,D)",2024-03-07,322.0,1425.0,4.27,16.37,1.15,0.21,3.07,45.0,0.09,2025-01-23,299,Junior Bull Calf,,2025
84,113,104,34,46,67,Argyll's Jaco (D),2013-02-28,329.0,685.0,1.93,13.625,1.99,0.248,2.579,34.0,0.1,2014-01-23,297,Junior Bull Calf,,2014
85,53,107,32,104,107,"FSH Confucius (ET,PV,D)",2022-01-22,366.0,901.0,2.33,13.9,1.54,0.16,2.56,38.0,0.1,2023-01-23,296,Junior Bull Calf,,2023
86,115,64,108,8,11,Basswood 3 o`Dundonald (D),2013-03-23,306.0,528.0,1.56,10.671,2.02,0.124,4.208,27.0,0.09,2014-01-23,295,Junior Bull Calf,,2014
87,74,54,109,55,41,Holy Cross Jett (D),2019-04-01,294.0,630.0,1.97,10.34,1.64,0.3,4.3,30.0,0.1,2020-01-20,292,Junior Bull Calf,,2020
88,62,85,85,59,84,"BRF Barra (AI,D)",2013-02-07,350.0,745.0,1.99,11.742,1.58,0.164,3.421,29.0,0.08,2014-01-23,291,Junior Bull Calf,,2014
89,68,100,26,93,99,"Howling Springs Oldham (PV,D)",2025-02-05,351.0,834.0,2.23,13.46,1.61,0.15,2.53,32.0,0.05,2026-01-22,287,Junior Bull Calf,,2026
90,65,68,52,100,61,"Liberty of Highland Spice (PV,D)",2022-04-24,274.0,673.0,2.27,10.76,1.6,0.12,2.91,31.0,0.11,2023-01-23,285,Junior Bull Calf,,2023
91,100,65,86,34,28,J Bar T's Thor (D),2013-04-01,297.0,602.0,1.86,10.712,1.78,0.194,3.422,29.0,0.1,2014-01-23,285,Junior Bull Calf,,2014
92,86,47,91,60,32,Bennachie's Jax (D),2018-04-17,279.0,607.0,2.0,10.23,1.69,0.07,3.52,32.0,0.11,2019-01-21,284,Junior Bull Calf,,2019
93,97,89,80,17,66,Skye High Honor (D),2019-01-08,377.0,683.0,1.68,11.96,1.75,0.21,3.33,31.5,0.08,2020-01-20,283,Junior Bull Calf,,2020
94,44,71,71,95,86,Skye High Capone (D),2014-03-15,313.0,753.0,2.25,10.98,1.46,0.19,3.13,33.0,0.11,2015-01-22,281,Junior Bull Calf,,2015
95,3,102,62,112,111,Nashville of Storybrooke Farm (D),2024-03-29,300.0,1216.0,3.89,13.51,1.11,0.2,3.0,39.0,0.08,2025-01-23,279,Junior Bull Calf,,2025
96,101,59,72,47,24,RAM Liberty (D),2017-04-16,281.0,591.0,1.93,10.52,1.78,0.12,3.18,31.0,0.11,2018-01-22,279,Junior Bull Calf,,2018
97,90,77,45,67,56,"11M Ranch Fergus (PV,D)",2023-03-28,300.0,661.0,2.04,11.21,1.7,0.1,2.82,31.0,0.1,2024-01-22,279,Junior Bull Calf,,2024
98,77,62,73,66,44,Flatheads Glenkinchie (D),2013-04-08,290.0,639.0,2.03,10.627,1.66,0.248,3.212,34.0,0.12,2014-01-23,278,Junior Bull Calf,,2014
99,56,42,94,86,47,Bennachie's Moray (D),2018-04-21,275.0,645.0,2.16,9.98,1.55,0.2,3.67,27.0,0.1,2019-01-21,278,Junior Bull Calf,,2019
100,64,73,64,75,69,"PellCreeks King Fergus (AI,D)",2013-03-24,305.0,688.0,2.09,11.024,1.6,0.195,3.029,26.0,0.09,2014-01-23,276,Junior Bull Calf,,2014
101,114,76,49,35,14,MT Pendleton (D),2018-04-24,272.0,556.0,1.86,11.19,2.01,0.17,2.87,27.0,0.1,2019-01-21,274,Junior Bull Calf,,2019
102,88,70,76,36,45,Almosta Farm's Tycen (D),2013-03-12,317.0,640.0,1.86,10.904,1.7,0.212,3.259,21.0,0.07,2014-01-23,270,Junior Bull Calf,,2014
103,13,115,29,111,114,"MES Marvelous Miles (AI,PV,D)",2024-01-12,377.0,1464.0,3.75,17.98,1.23,0.26,2.54,43.0,0.07,2025-01-23,268,Junior Bull Calf,,2025
104,45,72,110,40,82,"Symbiosis Sir Titan (ET,D)",2019-01-21,364.0,742.0,1.9,11.0,1.48,0.15,4.3,33.0,0.09,2020-01-20,267,Junior Bull Calf,,2020
105,67,55,75,68,50,Flatheads Aodhair (D),2015-04-02,294.0,649.0,2.04,10.38,1.6,0.18,3.25,31.0,0.11,2016-01-21,265,Junior Bull Calf,,2016
106,78,52,92,41,39,Bennachie's Sterling (D),2015-03-29,298.0,620.0,1.91,10.31,1.66,0.19,3.59,33.0,0.11,2016-01-21,263,Junior Bull Calf,,2016
107,66,57,84,56,52,SC Finnegan (D),2017-03-23,305.0,652.0,1.97,10.45,1.6,0.14,3.42,36.0,0.12,2018-01-22,263,Junior Bull Calf,,2018
108,34,41,79,105,71,HS Love Is A Rose (D),2022-04-23,275.0,694.0,2.34,9.85,1.42,0.1,3.3,27.0,0.1,2023-01-23,259,Junior Bull Calf,,2023
109,61,86,13,94,83,"Creek Run Fozzie (ET,PV,D)",2022-03-17,312.0,745.0,2.23,11.76,1.58,0.1,2.13,28.0,0.09,2023-01-23,254,Junior Bull Calf,,2023
110,57,101,5,90,104,"MES Otto (AI,PV,D)",2025-01-13,374.0,872.0,2.2,13.5,1.55,0.19,1.26,35.0,0.05,2026-01-22,253,Junior Bull Calf,,2026
111,28,91,43,89,102,"Symbiosis Sir Yukon (ET,D)",2017-01-18,369.0,859.0,2.19,12.11,1.41,0.14,2.78,34.0,0.09,2018-01-22,251,Junior Bull Calf,,2018
112,51,67,53,79,75,Howling Springs Barron the Bul (D),2022-03-17,312.0,708.0,2.11,10.76,1.52,0.18,2.91,38.0,0.12,2023-01-23,250,Junior Bull Calf,,2023
113,70,50,60,64,42,"Highland Spice Mercury (PV,D)",2023-04-07,290.0,635.0,2.02,10.28,1.62,0.11,2.97,33.0,0.11,2024-01-22,244,Junior Bull Calf,,2024
114,5,48,82,98,108,Howling Springs Oakley (D),2025-01-12,375.0,901.0,2.27,10.23,1.14,0.19,3.37,37.0,0.06,2026-01-22,233,Junior Bull Calf,,2026
115,91,43,67,28,22,FTA Ruger (D),2014-04-01,296.0,586.0,1.81,10.03,1.71,0.21,3.05,30.0,0.1,2015-01-22,229,Junior Bull Calf,,2015
116,99,32,78,19,10,TSR Velveteen Rabbit (D),2019-04-19,276.0,525.0,1.72,9.3,1.77,0.07,3.28,27.0,0.1,2020-01-20,228,Junior Bull Calf,,2020
117,95,53,33,45,25,We Tired Rocky (D),2014-04-15,282.0,593.0,1.93,10.33,1.74,0.08,2.57,33.0,0.12,2015-01-22,226,Junior Bull Calf,,2015
118,27,58,81,58,85,"BRF Mr Clets (ET,D)",2014-02-03,353.0,750.0,1.98,10.48,1.4,0.15,3.34,31.0,0.09,2015-01-22,224,Junior Bull Calf,,2015
119,25,88,8,101,100,MXB Metallic Finley (D),2025-02-07,349.0,854.0,2.3,11.95,1.4,0.2,1.82,35.0,0.06,2026-01-22,222,Junior Bull Calf,,2026
120,32,63,55,71,87,GNH Saint Valentine (D),2023-02-15,341.0,754.0,2.06,10.66,1.41,0.06,2.93,35.0,0.1,2024-01-22,221,Junior Bull Calf,,2024
121,106,66,40,9,20,"Beyond Hope Sutton (AI,D)",2022-02-21,336.0,580.0,1.58,10.72,1.85,0.1,2.68,31.0,0.09,2023-01-23,221,Junior Bull Calf,,2023
122,49,56,28,88,68,Flatheads Deveron (D),2014-04-06,291.0,685.0,2.18,10.39,1.52,0.15,2.54,31.0,0.11,2015-01-22,221,Junior Bull Calf,,2015
123,94,23,93,10,7,Snowland G. Markee (D),2015-04-16,280.0,498.0,1.6,8.6,1.73,0.12,3.63,22.0,0.08,2016-01-21,220,Junior Bull Calf,,2016
124,71,90,16,39,81,"STR Iain Mor (PV,D)",2025-01-21,366.0,741.0,1.89,12.05,1.63,0.17,2.23,28.0,0.04,2026-01-22,216,Junior Bull Calf,,2026
125,89,39,57,31,18,Highland Spice Hickory (D),2019-04-08,287.0,574.0,1.83,9.73,1.7,0.07,2.94,28.0,0.1,2020-01-20,216,Junior Bull Calf,,2020
126,29,82,35,70,96,DH Premier (D),2017-01-12,375.0,822.0,2.06,11.61,1.41,0.17,2.59,35.0,0.09,2018-01-22,216,Junior Bull Calf,,2018
127,84,38,70,22,17,Flatheads Talisker (D),2013-03-29,300.0,572.0,1.74,9.611,1.68,0.212,3.124,33.0,0.11,2014-01-23,214,Junior Bull Calf,,2014
128,73,46,21,73,38,Bennachie's Glen (D),2017-04-22,275.0,619.0,2.07,10.18,1.64,0.15,2.43,29.0,0.11,2018-01-22,213,Junior Bull Calf,,2018
129,14,15,102,81,58,"STR Burning It Down (ET,D)",2017-04-06,291.0,669.0,2.13,8.29,1.24,0.09,3.81,32.0,0.11,2018-01-22,212,Junior Bull Calf,,2018
130,105,29,63,15,6,Clearwater's Vance (D),2019-04-28,267.0,492.0,1.66,9.01,1.83,0.08,3.01,30.0,0.11,2020-01-20,212,Junior Bull Calf,,2020
131,82,84,23,20,72,LSK Duke (D),2017-01-12,375.0,696.0,1.72,11.72,1.68,0.12,2.46,30.0,0.08,2018-01-22,209,Junior Bull Calf,,2018
132,72,60,14,53,48,We Tired Horace (D),2013-03-25,304.0,646.0,1.96,10.557,1.63,0.194,2.179,29.0,0.1,2014-01-23,199,Junior Bull Calf,,2014
133,36,61,2,97,80,"WL Ring of Fire (AI,PV,D)",2025-03-25,303.0,737.0,2.27,10.56,1.43,0.12,0.8,33.0,0.06,2026-01-22,196,Junior Bull Calf,,2026
134,112,25,54,3,2,"Defiance of Dundonald (AI,D)",2015-04-25,271.0,443.0,1.45,8.77,1.98,0.12,2.91,25.0,0.09,2016-01-21,194,Junior Bull Calf,,2016
135,87,9,89,7,3,Kesabe's Mayhem (D),2023-04-29,268.0,457.0,1.52,7.76,1.7,0.09,3.46,33.0,0.12,2024-01-22,192,Junior Bull Calf,,2024
136,37,51,58,44,78,"HHH Gold Kanyon (PV,D)",2021-02-13,345.0,717.0,1.93,10.28,1.43,0.18,2.95,31.0,0.09,2022-01-24,190,Junior Bull Calf,,2022
137,103,11,74,1,1,SFF John o'Groats (D),2015-04-19,277.0,442.0,1.42,7.96,1.8,0.12,3.25,26.0,0.09,2016-01-21,189,Junior Bull Calf,,2016
138,47,30,97,13,29,RAM Cupid (D),2017-02-16,340.0,603.0,1.63,9.07,1.5,0.09,3.69,32.0,0.09,2018-01-22,187,Junior Bull Calf,,2018
139,43,20,105,18,23,"BEM Boomer (AI,D)",2013-03-08,321.0,588.0,1.68,8.536,1.45,0.294,4.02,27.0,0.08,2014-01-23,186,Junior Bull Calf,,2014
140,17,44,41,80,94,"Stagecoach Wells Fargo (PV,D)",2021-02-02,356.0,802.0,2.11,10.05,1.25,0.04,2.73,32.0,0.09,2022-01-24,182,Junior Bull Calf,,2022
141,76,79,1,25,70,"STR Endurance (ET,PV,D)",2025-01-31,356.0,692.0,1.8,11.44,1.65,0.17,0.54,34.0,0.05,2026-01-22,181,Junior Bull Calf,,2026
142,23,34,50,74,65,Holy Cross Black Jack (D),2018-03-24,303.0,680.0,2.08,9.36,1.38,0.2,2.89,30.0,0.1,2019-01-21,181,Junior Bull Calf,,2019
143,26,10,106,38,16,Holy Cross Finn (D),2023-04-23,274.0,566.0,1.88,7.92,1.4,0.15,4.1,31.0,0.11,2024-01-22,180,Junior Bull Calf,,2024
144,83,24,56,16,9,RAM BB King (D),2015-04-16,280.0,521.0,1.68,8.76,1.68,0.12,2.93,32.0,0.11,2016-01-21,179,Junior Bull Calf,,2016
145,39,28,100,12,36,Dundonald's Cho Sona,2017-02-06,350.0,617.0,1.62,8.93,1.45,0.08,3.79,30.0,0.09,2018-01-22,179,Junior Bull Calf,,2018
146,69,8,88,5,4,"BRJ Hamish of Cobb Hollow (ET,PV,D)",2022-04-08,290.0,480.0,1.48,7.74,1.61,0.11,3.45,31.0,0.11,2023-01-23,170,Junior Bull Calf,,2023
